Vendedor;Produto;Código;Qtde;Preço Médio;Valor;Frete;Desconto;Outras despesas;Total Venda;Custo;Lucro
darly  ;Bermuda Dri-fit Premium;;1;77,00;77;0;7;0;70;0;-
darly  ;Bermuda Elastano;;1;65,00;65;0;17,39;0;47,61;32;15,61
darly  ;Bermuda Jeans;;3;65,00;195;0;26,75;0;168,25;81;87,25
darly  ;Boné Anth-Co;;1;55,00;55;0;15;0;40;21,7;18,3
darly  ;Bone five panel;;1;44,00;44;0;4,95;0;39,05;20;19,05
darly  ;Boné Premium;;2;44,00;88;0;0;0;88;36;52
darly  ;Bucket Premium;;2;77,00;154;0;28;0;126;70;56
darly  ;Camisa Chronic;;4;82,00;328;0;58,58;0;269,42;137,16;132,26
darly  ;Camisa Peruana;;4;88,00;352;0;64,39;0;287,61;148;139,61
darly  ;Camisa Polo;;5;77,00;385;0;28;0;357;165;192
darly  ;Camisa Premium;;1;55,00;55;0;0;0;55;23;32
darly  ;Camisa Stret;;4;60,00;240;0;28,28;0;211,72;100;111,72
darly  ;Carteira Simples;;1;33,00;33;0;3;0;30;16;14
darly  ;Corrente De Prata 2 MM;;1;110,00;110;0;24,29;0;85,71;45;40,71
darly  ;jeans original branca;;1;110,00;110;0;24,29;0;85,71;50;35,71
darly  ;Kenner rakka full force;;1;150,00;150;0;10;0;140;0;-
darly  ;Oculos Juliett;;1;132,00;132;0;36;0;96;60;36
darly  ;Oculos Oakley;;2;50,00;100;0;4,55;0;95,45;34;61,45
darly  ;Polo Chronic;;1;110,00;110;0;30;0;80;45,5;34,5
darly  ;Polo Gucci;;1;55,00;55;0;5;0;50;25;25
darly  ;Polo Peruana;;2;110,00;220;0;36,21;0;183,79;108;75,79
darly  ;Regata  Premium;;1;55,00;55;0;14,72;0;40,28;22;18,28
darly  ;regata basquete;;1;50,00;50;0;2,82;0;47,18;22;25,18
darly  ;Regata Dri-fit;;1;44,00;44;0;8,46;0;35,54;20;15,54
darly  ;Short Cargo;;1;77,00;77;0;7;0;70;32;38
darly  ;Short Dri-fit Premium;;2;88,00;176;0;15,77;0;160,23;80;80,23
darly  ;Short Impermeável;;1;55,00;55;0;4,58;0;50,42;23;27,42
darly  ;Short Mauricinho Liso;;2;44,00;88;0;4,97;0;83,03;40;43,03
ially  ;Anel Moeda Antiga;;2;55,00;110;0;20;0;90;70;20
ially  ;Anel Prata De Redondo;;3;77,00;231;0;52,43;0;178,57;96;82,57
ially  ;Bag Premium;;2;50,00;100;0;19;0;81;46;35
ially  ;bermuda Dri-fit;;4;50,00;200;0;37,6;0;162,4;200;-37,6
ially  ;Bermuda Dri-fit Premium;;2;77,00;154;0;20,13;0;133,87;0;-
ially  ;Bermuda Drifit EXGG;;5;53,00;265;0;70,67;0;194,33;100;94,33
ially  ;Bermuda Drifit Gucci;;6;55,00;330;0;50,55;0;279,45;150;129,45
ially  ;Bermuda Elastano;;11;65,00;715;0;101,82;0;613,18;352;261,18
ially  ;Bermuda Jeans;;11;65,00;715;0;91,66;0;623,34;297;326,34
ially  ;Bermuda Jeans EXGG;;4;88,00;352;0;28,46;0;323,54;152;171,54
ially  ;bermuda premium;;1;77,00;77;0;20,01;0;56,99;35;21,99
ially  ;Bermuda Via Moda;;1;110,00;110;0;20;0;90;45;45
ially  ;Blusão Moletom;;1;150,00;150;0;38,99;0;111,01;65;46,01
ially  ;Bolsa  T60;;1;120,00;120;0;3,5;0;116,5;60;56,5
ially  ;Boné Anth-Co;;17;55,00;935;0;175,17;0;759,83;368,9;390,93
ially  ;bone cyclone;;1;65,00;65;0;5;0;60;30;30
ially  ;Bone de Grife;;2;55,00;110;0;25;0;85;0;-
ially  ;Boné De Tela;;2;38,00;76;0;5,77;0;70,23;32;38,23
ially  ;Bone five panel;;1;44,00;44;0;4,25;0;39,75;20;19,75
ially  ;Boné Premium;;11;44,00;484;0;62,21;0;421,79;198;223,79
ially  ;Brinco  De Prata 15;;1;15,00;15;0;3;0;12;7;5
ially  ;Brinco De Prata 20;;4;20,00;80;0;14,06;0;65,94;40;25,94
ially  ;Brinco Prata 25;;2;25,00;50;0;7;0;43;24;19
ially  ;Bucket Premium;;7;77,00;539;0;92,01;0;446,99;245;201,99
ially  ;Bvlgari Roleta;;2;240,00;480;0;97,9;0;382,1;210;172,1
ially  ;Calça Jeans;;4;88,00;352;0;79,11;0;272,89;160;112,89
ially  ;Calça Jogger;;7;100,00;700;0;72,71;0;627,29;315;312,29
ially  ;Camisa Chronic;;6;82,00;492;0;121,52;0;370,48;205,74;164,74
ially  ;Camisa De Time;;7;62,00;434;0;59,34;0;374,66;0;-
ially  ;Camisa Dri-fit;;7;44,00;308;0;88,45;0;219,55;119;100,55
ially  ;Camisa EXGG;;3;77,00;231;0;44,47;0;186,53;96;90,53
ially  ;Camisa Peruana;;4;88,00;352;0;59,41;0;292,59;148;144,59
ially  ;Camisa Polo;;11;77,00;847;0;94,49;0;752,51;363;389,51
ially  ;Camisa Premium;;22;55,00;1210;0;211,1;0;998,9;506;492,9
ially  ;Camisa Stret;;23;60,00;1380;0;222,21;0;1157,79;575;582,79
ially  ;Camisa Surf;;23;38,00;874;0;167,12;0;706,88;368;338,88
ially  ;Carteira Grif;;1;44,00;44;0;12;0;32;18;14
ially  ;Carteira Simples;;5;36,00;180;0;29,94;0;150,06;80;70,06
ially  ;cinto grife;;2;38,00;76;0;6;0;70;0;-
ially  ;conjunto de time;;7;135,00;945;0;126,57;0;818,43;420;398,43
ially  ;Copo Stanley;;3;44,00;132;0;22;0;110;60;50
ially  ;Corente Prata 80 CM 3,5;;1;220,00;220;0;67,73;0;152,27;220;-67,73
ially  ;Corrente  De Prata 3,5 MM;;2;176,00;352;0;96;0;256;160;96
ially  ;corrente 80;;1;220,00;220;0;40;0;180;0;-
ially  ;Corrente De Moeda 100;;1;110,00;110;0;10;0;100;45;55
ially  ;Corrente De Prata 1,5 MM;;2;77,00;154;0;42;0;112;60;52
ially  ;Corrente De Prata 2 MM;;4;110,00;440;0;120;0;320;180;140
ially  ;Corrente De Prata 4 MM;;1;240,00;240;0;64;0;176;110;66
ially  ;Corrente De Prata 6 MM;;2;440,00;880;0;238,58;0;641,42;410;231,42
ially  ;Corrente Moeda 130;;1;145,00;145;0;9,26;0;135,74;65;70,74
ially  ;Corrente Moeda 70;;2;77,00;154;0;14;0;140;70;70
ially  ;Corta Vento;;1;130,00;130;0;34;0;96;58;38
ially  ;Cueca Chinesa;;3;20,00;60;0;15,43;0;44,57;30;14,57
ially  ;Cueca Simples;;22;12,00;264;0;71,82;0;192,18;88;104,18
ially  ;Cuecas Algodão;;12;21,50;258;0;73,53;0;184,47;96;88,47
ially  ;Cuia;;1;20,00;20;0;0;0;20;8;12
ially  ;Dechavador;;3;5,00;15;0;2,54;0;12,46;6;6,46
ially  ;Dri-fit Recortada;;6;55,00;330;0;56,3;0;273,7;120;153,7
ially  ;Gas Completar;;4;2,00;8;0;0,17;0;7,83;8;-0,17
ially  ;Invicta Roleta;;1;240,00;240;0;35;0;205;240;-35
ially  ;Kenner Diamante;;1;150,00;150;0;10;0;140;70;70
ially  ;kenner kivah;;1;130,00;130;0;2,78;0;127,22;55;72,22
ially  ;Kenner Kivah;;3;150,00;450;0;116,35;0;333,65;195;138,65
ially  ;kenner Rakka;;3;150,00;450;0;65,06;0;384,94;450;-65,06
ially  ;Kit Cueca;;4;77,00;308;0;69,51;0;238,49;132;106,49
ially  ;Lente Transparente;;1;100,00;100;0;9,09;0;90,91;45;45,91
ially  ;Maquina De Cabelo;;3;44,00;132;0;31,6;0;100,4;132;-31,6
ially  ;Meia;;3;10,00;30;0;0,29;0;29,71;12,75;16,96
ially  ;Meia Longa;;9;5,00;45;0;1,44;0;43,56;16,47;27,09
ially  ;Mochila Nike;;2;110,00;220;0;40,66;0;179,34;100;79,34
ially  ;Oculos De Sol;;1;38,00;38;0;0;0;38;7;31
ially  ;Oculos Juliett;;2;132,00;264;0;51,64;0;212,36;120;92,36
ially  ;Oculos Oakley;;2;50,00;100;0;18,72;0;81,28;34;47,28
